nome;cultura;saco;preco
"MISTURA DE ESPECIES TRIGO MOURISCO,  AVEIA PRETA (AVENA STRIGOSA) - CV. EMBRAPA 139 E CRAMBE ABYSSI";Agricultura;—;0
"MISTURA DE ESPECIES TRIGO MOURISCO, NABO FORRAGEIRO E CRAMBE ABYSSINICA";Agricultura;—;0
"MISTURA DE ESPECIES UROC RUZIZIENSIS INCR, CROTALARIA OCROLEUCA, SPECTABILIS, NABO FORRAG,CORACANA";Agricultura;—;0
MISTURA DE ESPECIES UROCHLOA BRIZANTHA CV MARANDU NOBRE INC X UROCHLOA HUMIDICOLA CV LLANERO NOBRE I;Agricultura;—;0
MISTURA DE ESPECIES UROCHOLOA BRIZ CV MARANDU NOBRE INC X UROCHLOA BRIZ CV MG-5 NOBRE INC 25KG;Agricultura;25 kg;0
MISTURA DE ESPECIES UROCHOLOA BRIZ CV MARANDU VC 80 X UROCHLOA RUZIZIENSIS CV RUZIZIENSIS VC 80;Agricultura;—;0
MISTURA DE ESPECIES UROCHOLOA BRIZANTHA CV MARANDU NOBRE INCRUSTADA E SORGHUM(L) MOENCH CV BRS PONTA;Agricultura;—;0
MIX CAFE - BASE 1 25KG;Agricultura;25 kg;0
MIX CAFE - BASE 2 25 KG;Agricultura;25 kg;0
MIX CAFE - BASE 2 25KG;Agricultura;25 kg;0
MIX COBERTURA - SB MIX 70/30;Agricultura;—;0
MIX COBERTURA - SB MIX CAFE;Agricultura;—;0
MIX COBERTURA - SB MIX CAFE 25 KG;Agricultura;25 kg;0
MIX COBERTURA - SB MIX CANA;Agricultura;—;0
MIX COBERTURA - SB MIX CANA 1000KG;Agricultura;1000 kg;0
MIX COBERTURA - SB MIX CANA 500KG;Agricultura;500 kg;0
MIX COBERTURA - SB MIX DESCOMPACTADOR;Agricultura;—;0
MIX COBERTURA - SB MIX INVERNO;Agricultura;—;0
MIX COBERTURA - SB MIX N;Agricultura;—;0
MIX COBERTURA - SB MIX NEMATOIDE;Agricultura;—;0
MIX COBERTURA - SB MIX PALHADA;Agricultura;—;0
MIX COBERTURA - SB MIX PASTEJO;Agricultura;—;0
MIX COBERTURA - SB MIX PRECOCE;Agricultura;—;0
"MIX MARANDU, MOMBACA, MILHETO BG 500 KG";Agricultura;500 kg;0
"MIX MILHETO, RUZIZIENSIS BG 500 KG";Agricultura;500 kg;0
"MIX MOMBACA, MILHETO BG 500 KG";Agricultura;500 kg;0
MIX NEMATOIDE /  PALHADA  /  AREA DEGRADADA 25KG;Agricultura;25 kg;0
"MIX PIATA, MOMBACA, MILHETO BG 500 KG";Agricultura;500 kg;0
"SEM MIX  BRS1501 ,CROTALARIA SPECTABILIS BG 500";Agricultura;—;0
"SEM. MIX RUZIZIENSIS, CORACANA, MILHETO BG 500";Agricultura;—;0
"SEM. MIX RUZIZIENSIS, CROTALARIA SPECTABILIS BG 500";Agricultura;—;0
"SEM. MIX RUZIZIENSIS, CROTALARIA SPECTABILIS, MILHETO BG 500";Agricultura;—;0
"SEM. MIX RUZIZIENSIS, MILHETO, CROTALARIA SPECTABILIS  25 KG";Agricultura;25 kg;0
UROCHLOA BRIZANTHA X UROCHLOA RUZIZIENSIS CV CAYANA INCRUSTADA;Agricultura;—;0
UROCHLOA BRIZANTHA X UROCHLOA RUZIZIENSIS CV CAYANA INCRUSTRADA 10KG;Agricultura;10 kg;0
UROCHLOA BRIZANTHA X UROCHLOA RUZIZIENSIS CV CONVERT 330 INCRUSTADA - HIBRIDO SABIA;Agricultura;—;0
MIX COBERTURA SBMIX 66/34 MILHETO/MG-5 NUTRE SBS PURA VC80 25KG;Agricultura;25 kg;0
MISTURA DE ESPECIES MILHETO BRS 1501 E MOMBACA NOBRE INCRUSTADA;Agricultura;—;0
"MISTURA DE ESPECIES TRIGO MOURISCO, BRACHIARIA RUZIZIENSIS E CROTALARIA OCHROLEUCA 25KG";Agricultura;25 kg;0
MIX COBERTURA  SBMIX 29/38/33 NABO/RUZIZIENSIS/MILHETO  SBS PURA VC80 25KG;Agricultura;25 kg;0
MIX COBERTURA SBMIX ESTRATEGICO SBS PURA VC80 25KG;Agricultura;25 kg;0
MISTURA DE ESPECIES UROCHLOA BRIZANTHA CV MARANDU NOBRE INC E CV LLANERO NOBRE INC 25KG;Agricultura;25 kg;0
MISTURA DE ESPECIES UROCHLOA DECUMBENS CV BASILISK VC 50 E CV LLANERO VC 50 25KG;Agricultura;25 kg;0
